RespondentID,Project,Soddisfazione (1-5),Chiarezza contenuti (1-5),Utilità pratica (1-5),Consiglierei ad altri (1-5)
1,Progetto A,4,1,4,4
2,Progetto A,5,4,1,4
3,Progetto A,3,4,5,1
4,Progetto A,5,3,3,3
5,Progetto A,5,1,3,3
6,Progetto A,2,3,1,3
7,Progetto A,3,1,4,5
8,Progetto A,3,5,4,2
9,Progetto A,3,2,5,5
10,Progetto A,5,2,1,2
11,Progetto A,4,2,3,3
12,Progetto A,3,3,4,3
13,Progetto A,5,5,1,5
14,Progetto A,2,1,4,5
15,Progetto A,4,4,4,2
16,Progetto A,2,1,3,4
17,Progetto A,4,4,2,2
18,Progetto A,5,1,5,5
19,Progetto A,1,5,5,5
20,Progetto A,4,4,3,1
21,Progetto A,2,3,4,5
22,Progetto A,5,1,1,1
23,Progetto A,4,1,4,4
24,Progetto A,1,4,3,2
25,Progetto A,1,3,5,2
26,Progetto A,3,3,4,1
27,Progetto A,3,5,5,2
28,Progetto A,2,3,1,5
29,Progetto A,4,3,5,3
30,Progetto A,4,3,5,1
31,Progetto A,3,2,2,2
32,Progetto A,4,5,2,1
33,Progetto A,4,1,2,1
34,Progetto A,1,4,5,3
35,Progetto A,3,1,3,5
36,Progetto A,5,5,5,1
37,Progetto A,3,4,3,2
38,Progetto A,5,5,3,4
39,Progetto A,1,3,2,1
40,Progetto A,2,4,4,1
41,Progetto A,4,3,1,3
42,Progetto A,1,1,2,5
43,Progetto A,4,1,2,4
44,Progetto A,2,4,4,2
45,Progetto A,2,4,1,4
46,Progetto A,1,5,5,2
47,Progetto A,2,5,5,5
48,Progetto A,5,3,2,2
49,Progetto A,2,4,1,3
50,Progetto A,4,1,2,3
51,Progetto B,4,5,3,3
52,Progetto B,4,5,2,3
53,Progetto B,4,1,2,4
54,Progetto B,5,5,5,5
55,Progetto B,3,3,5,2
56,Progetto B,1,4,5,2
57,Progetto B,4,1,3,3
58,Progetto B,2,4,5,3
59,Progetto B,4,5,1,1
60,Progetto B,2,5,4,5
61,Progetto B,2,1,1,4
62,Progetto B,4,3,1,2
63,Progetto B,5,2,5,1
64,Progetto B,2,1,4,1
65,Progetto B,2,2,4,2
66,Progetto B,4,2,4,4
67,Progetto B,2,3,3,1
68,Progetto B,2,2,5,1
69,Progetto B,4,2,4,5
70,Progetto B,4,3,3,4
71,Progetto B,1,2,2,1
72,Progetto B,5,2,2,4
73,Progetto B,5,2,3,2
74,Progetto B,2,1,3,3
75,Progetto B,5,1,5,1
76,Progetto B,2,1,5,5
77,Progetto B,1,3,2,2
78,Progetto B,4,5,4,4
79,Progetto B,4,2,2,2
80,Progetto B,4,2,4,1
81,Progetto B,5,3,4,4
82,Progetto B,1,2,5,3
83,Progetto B,5,1,1,2
84,Progetto B,5,5,1,1
85,Progetto B,1,4,3,5
86,Progetto B,1,2,5,4
87,Progetto B,1,1,4,2
88,Progetto B,1,4,1,2
89,Progetto B,4,5,4,3
90,Progetto B,3,4,1,3
91,Progetto B,3,1,1,5
92,Progetto B,1,4,1,5
93,Progetto B,3,3,5,1
94,Progetto B,3,4,2,1
95,Progetto B,1,2,4,5
96,Progetto B,3,2,5,5
97,Progetto B,5,3,5,4
98,Progetto B,2,1,5,3
99,Progetto B,2,2,5,1
100,Progetto B,1,5,5,3
101,Progetto C,4,2,3,3
102,Progetto C,1,2,4,5
103,Progetto C,4,1,5,4
104,Progetto C,2,4,4,2
105,Progetto C,1,2,3,4
106,Progetto C,5,3,3,4
107,Progetto C,3,4,4,3
108,Progetto C,4,5,1,4
109,Progetto C,3,1,2,1
110,Progetto C,3,5,1,3
111,Progetto C,1,4,1,1
112,Progetto C,3,4,1,2
113,Progetto C,5,4,5,3
114,Progetto C,3,5,3,2
115,Progetto C,1,4,1,3
116,Progetto C,5,5,3,5
117,Progetto C,2,4,4,4
118,Progetto C,3,3,2,5
119,Progetto C,1,4,4,2
120,Progetto C,2,5,4,4
121,Progetto C,2,2,5,3
122,Progetto C,4,4,2,4
123,Progetto C,5,2,4,1
124,Progetto C,3,3,4,4
125,Progetto C,1,1,2,1
126,Progetto C,4,3,2,4
127,Progetto C,5,4,4,1
128,Progetto C,4,2,2,2
129,Progetto C,5,2,4,5
130,Progetto C,5,5,4,3
131,Progetto C,3,2,5,4
132,Progetto C,5,5,1,5
133,Progetto C,4,1,4,3
134,Progetto C,5,4,3,3
135,Progetto C,3,5,1,1
136,Progetto C,3,1,1,2
137,Progetto C,4,2,1,2
138,Progetto C,2,2,5,5
139,Progetto C,2,1,4,2
140,Progetto C,5,2,5,4
141,Progetto C,1,1,4,2
142,Progetto C,5,5,5,5
143,Progetto C,4,5,5,2
144,Progetto C,4,1,3,4
145,Progetto C,4,5,5,1
146,Progetto C,4,5,2,5
147,Progetto C,4,5,3,1
148,Progetto C,3,3,5,1
149,Progetto C,2,4,1,1
150,Progetto C,4,2,2,3
151,Progetto D,1,3,2,3
152,Progetto D,1,5,2,1
153,Progetto D,1,1,3,5
154,Progetto D,1,5,5,4
155,Progetto D,3,4,5,4
156,Progetto D,1,5,1,2
157,Progetto D,4,1,1,5
158,Progetto D,5,4,2,3
159,Progetto D,1,5,1,1
160,Progetto D,3,4,3,2
161,Progetto D,3,2,5,4
162,Progetto D,1,2,2,3
163,Progetto D,5,5,1,3
164,Progetto D,1,4,3,1
165,Progetto D,3,1,3,4
166,Progetto D,2,5,1,5
167,Progetto D,4,2,5,3
168,Progetto D,3,2,1,1
169,Progetto D,1,5,2,5
170,Progetto D,4,4,1,4
171,Progetto D,1,2,3,3
172,Progetto D,1,4,1,5
173,Progetto D,2,2,5,5
174,Progetto D,4,2,4,5
175,Progetto D,4,3,1,3
176,Progetto D,2,2,5,3
177,Progetto D,3,1,5,2
178,Progetto D,1,5,3,4
179,Progetto D,5,5,5,1
180,Progetto D,1,4,5,5
181,Progetto D,1,2,5,2
182,Progetto D,3,1,5,1
183,Progetto D,1,4,2,2
184,Progetto D,2,3,2,3
185,Progetto D,2,4,3,5
186,Progetto D,4,4,1,1
187,Progetto D,5,2,5,1
188,Progetto D,1,3,1,1
189,Progetto D,1,4,1,1
190,Progetto D,3,1,3,1
191,Progetto D,2,1,5,2
192,Progetto D,5,5,5,5
193,Progetto D,4,3,4,3
194,Progetto D,2,3,1,3
195,Progetto D,4,5,1,3
196,Progetto D,3,4,2,3
197,Progetto D,3,3,4,2
198,Progetto D,1,1,2,4
199,Progetto D,5,1,2,5
200,Progetto D,4,2,2,1
201,Progetto E,2,3,3,4
202,Progetto E,3,4,3,3
203,Progetto E,1,5,2,4
204,Progetto E,1,5,4,5
205,Progetto E,4,4,1,1
206,Progetto E,3,2,4,1
207,Progetto E,5,5,5,5
208,Progetto E,3,3,3,5
209,Progetto E,4,2,1,3
210,Progetto E,4,3,1,1
211,Progetto E,3,1,5,4
212,Progetto E,4,2,5,2
213,Progetto E,3,5,2,2
214,Progetto E,2,2,3,5
215,Progetto E,3,2,3,3
216,Progetto E,3,2,4,2
217,Progetto E,4,2,2,1
218,Progetto E,4,3,2,5
219,Progetto E,1,1,2,4
220,Progetto E,1,4,2,5
221,Progetto E,2,2,3,4
222,Progetto E,1,5,3,5
223,Progetto E,3,2,2,5
224,Progetto E,4,5,4,5
225,Progetto E,1,3,1,4
226,Progetto E,1,5,1,4
227,Progetto E,2,4,4,5
228,Progetto E,2,1,2,2
229,Progetto E,3,5,3,3
230,Progetto E,4,5,1,3
231,Progetto E,2,1,5,3
232,Progetto E,1,4,5,4
233,Progetto E,4,2,4,4
234,Progetto E,4,5,2,2
235,Progetto E,1,1,1,3
236,Progetto E,2,3,2,3
237,Progetto E,1,1,1,5
238,Progetto E,4,3,4,4
239,Progetto E,5,4,4,3
240,Progetto E,5,2,5,2
241,Progetto E,3,1,2,2
242,Progetto E,1,5,5,3
243,Progetto E,1,4,2,4
244,Progetto E,3,1,5,2
245,Progetto E,3,5,3,5
246,Progetto E,3,1,3,2
247,Progetto E,4,3,3,1
248,Progetto E,1,1,3,1
249,Progetto E,4,1,1,4
250,Progetto E,3,1,3,3